caller_pgmDepth,caller_pgmPartition,caller_pgmLibrary,caller_pgmName,caller_lineno,pgmDepth,pgmPartition,pgmLibrary,pgmName,pgmStepCount,pgmType,fileNo,filePartition,fileLibrary,fileName,cmdName/fileDevice,cmdPara/fileFormat,recordLength/fileStepCount,fileType,C,R,U,D,testTargetType,real_filePartition,real_ fileLibrary,real_ fileName
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4851,KOUBAI01,BAALIB,DAISUDMY,CLRPFM,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,DAISUDMY
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4871,KOUBAI01,BAALIB,BAA055I,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA055I
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4872,KOUBAI01,BAALIB,DAISUJSK,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,DAISUJSK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4881,KOUBAI01,BAALIB,BAA055O,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA055O
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4882,KOUBAI01,BAALIB,DAISUDMY,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,DAISUDMY
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4941,KOUBAI01,BAALIB,DAISUFL,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,DAISUFL
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4951,KOUBAI01,BAALIB,DAISUFL,CRTPF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,DAISUFL
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,4981,KOUBAI01,BAALIB,DAISUFL,CLRPFM,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,DAISUFL
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5001,KOUBAI01,BAALIB,DAISUDMY,FMTDTA,INFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,DAISUDMY
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5002,KOUBAI01,BAALIB,DAISUFL,FMTDTA,OUTFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,DAISUFL
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5003,KOUBAI01,BAALIB,DAISUFL,FMTDTA,SRCFILE/MBR,-,-,-,-,-,-,N,KOUBAI01,BAALIB,DAISUFL
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5051,KOUBAI01,BAALIB,DAISUDMY,DLTF,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,DAISUDMY
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5421,KOUBAI01,BAALIB,BAA060DK,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA060DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5431,KOUBAI01,BAALIB,BAA060DK,CRTPF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA060DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5471,KOUBAI01,BAALIB,BAA060DK,CLRPFM,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,BAA060DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5491,KOUBAI01,BAALIB,PRINT,OVRPRTF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,PRINT
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5492,KOUBAI01,BAALIB,PDFKKIKAK.JBAA10M004,OVRPRTF,OUTQ.SPLFNAME,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,PDFKKIKAK.JBAA10M004
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5531,KOUBAI01,BAALIB,BAA060P,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA060P
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5532,KOUBAI01,BAALIB,BAA050DK,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA050DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5541,KOUBAI01,BAALIB,BAA060S,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA060S
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5542,KOUBAI01,BAALIB,BAA050D1,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA050D1
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5551,KOUBAI01,BAALIB,SGCHKTB,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,SGCHKTB
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5552,KOUBAI01,BAALIB,SGCHKTB,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,SGCHKTB
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5561,KOUBAI01,BAALIB,DAISUTB,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,DAISUTB
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5562,KOUBAI01,BAALIB,DAISUFL,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,DAISUFL
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5571,KOUBAI01,BAALIB,BAA060O,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA060O
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5572,KOUBAI01,BAALIB,BAA060DK,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA060DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5941,KOUBAI01,BAALIB,BAA070DK,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA070DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5951,KOUBAI01,BAALIB,BAA070DK,CRTPF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA070DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,5991,KOUBAI01,BAALIB,BAA070DK,CLRPFM,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,BAA070DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6011,KOUBAI01,BAALIB,PRINT,OVRPRTF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,PRINT
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6012,KOUBAI01,BAALIB,PDFKKIKAK.JBAA10M005,OVRPRTF,OUTQ.SPLFNAME,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,PDFKKIKAK.JBAA10M005
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6051,KOUBAI01,BAALIB,BAA070P,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA070P
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6052,KOUBAI01,BAALIB,BAA060DK,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA060DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6061,KOUBAI01,BAALIB,BAA070S,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA070S
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6062,KOUBAI01,BAALIB,BAA060D1,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA060D1
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6071,KOUBAI01,BAALIB,BAA070O,OVRDBF,FROMFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA070O
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6072,KOUBAI01,BAALIB,BAA070DK,OVRDBF,TOFILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA070DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6171,KOUBAI01,BAALIB,BAA075DK,CHKOBJ,OBJ,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA075DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6181,KOUBAI01,BAALIB,BAA075DK,CRTPF,FILE,-,-,todo,todo,todo,todo,todo,KOUBAI01,BAALIB,BAA075DK
0,-,-,-,-,1,KOUBAI01,BAALIB,JBAA10M0,875,CL,6221,KOUBAI01,BAALIB,BAA075DK,CLRPFM,FILE,-,-,-,-,-,D,todo,KOUBAI01,BAALIB,BAA075DK
